PersonaID,Home,CarAccess,TransitAccess,Budget,TimeWindow,Group,MobilityNeeds,PrimaryInterest,TopRated,EnvConscious,RiskSalience,WillingnessAI,WalkTolerance,Language,Weather,Age,Sex,Income,start_latitude,start_longitude
P0089,urban core,carshare,medium,high,weekend afternoon,older adult pair,none,food,yes,low,high,high,30,non-English,clear,senior,male,125k+,40.727273,-73.982654
P0090,urban core,no car,high,high,weekend afternoon,mixed friends 20-30,ADA/wheelchair,nature,yes,low,low,low,15,English,clear,young adult,male,125k+,40.771253,-73.985939
P0091,urban core,carshare,low,medium,weekday evening,mixed friends 20-30,none,food,yes,high,low,med,5,non-English,clear,mid adult,male,75k-125k,40.711386,-74.008207
P0092,rural fringe,own car,low,high,weekday evening,mixed friends 20-30,stroller-friendly,nature,no,high,high,med,30,non-English,rain,mid adult,male,75k-125k,40.792982,-73.952059
P0093,outer suburb,carshare,high,medium,weekend morning,family w/ small kids,ADA/wheelchair,nature,no,high,low,low,5,non-English,clear,mid adult,female,75k-125k,40.799244,-73.962873
P0094,outer suburb,no car,low,high,weekday evening,solo,none,nature,no,high,high,high,5,non-English,rain,mid adult,male,75k-125k,40.702051,-73.952551
P0095,urban core,own car,medium,high,weekday evening,family w/ small kids,ADA/wheelchair,nightlife,no,high,high,high,30,English,heat,mid adult,female,<35k,40.786605,-73.968393
P0096,rural fringe,own car,low,low,weekday evening,mixed friends 20-30,stroller-friendly,nature,yes,low,high,high,5,non-English,rain,teen,male,35-75k,40.725162,-73.995881
P0097,inner suburb,own car,high,low,weekday evening,mixed friends 20-30,ADA/wheelchair,cultural,yes,high,low,low,5,English,clear,young adult,male,75k-125k,40.704819,-74.016701
P0098,inner suburb,no car,medium,low,weekend morning,family w/ small kids,ADA/wheelchair,nightlife,yes,high,high,high,5,non-English,clear,young adult,female,35-75k,40.708977,-73.997833
P0099,rural fringe,carshare,high,medium,weekday evening,older adult pair,ADA/wheelchair,nightlife,yes,low,low,high,30,English,rain,old adult,female,75k-125k,40.801884,-73.953393
P0100,outer suburb,no car,low,medium,weekday evening,solo,none,cultural,no,high,high,low,15,non-English,clear,teen,male,35-75k,40.809105,-73.944616
P0101,outer suburb,carshare,high,medium,weekend morning,mixed friends 20-30,ADA/wheelchair,nature,no,high,high,med,30,non-English,clear,mid adult,male,75k-125k,40.732421,-74.010236
P0102,urban core,carshare,high,high,weekend afternoon,older adult pair,stroller-friendly,nightlife,yes,low,low,med,5,non-English,rain,senior,female,75k-125k,40.709244,-73.995933
P0103,urban core,no car,low,low,weekend afternoon,family w/ small kids,ADA/wheelchair,nature,yes,high,high,high,15,non-English,clear,old adult,female,35-75k,40.730971,-73.961313
P0104,outer suburb,carshare,high,high,weekend morning,older adult pair,ADA/wheelchair,nature,no,high,high,low,15,non-English,heat,senior,male,125k+,40.725160,-73.946593
P0105,urban core,no car,medium,medium,weekend morning,family w/ small kids,stroller-friendly,food,no,high,low,med,15,non-English,rain,mid adult,male,35-75k,40.762329,-73.970354
P0106,urban core,no car,high,medium,weekday evening,family w/ small kids,none,cultural,no,low,low,low,5,non-English,clear,teen,female,75k-125k,40.743160,-74.008545
P0107,urban core,own car,medium,low,weekend afternoon,mixed friends 20-30,ADA/wheelchair,food,no,high,high,med,30,non-English,rain,young adult,female,35-75k,40.780071,-73.947029
P0108,outer suburb,carshare,low,medium,weekend afternoon,solo,ADA/wheelchair,cultural,no,high,low,med,15,non-English,clear,teen,female,75k-125k,40.728234,-74.002360
P0109,rural fringe,no car,medium,medium,weekend afternoon,older adult pair,none,food,yes,high,low,med,5,English,rain,old adult,male,35-75k,40.774614,-73.948082
P0110,outer suburb,own car,high,high,weekday evening,family w/ small kids,none,food,yes,low,low,low,5,non-English,rain,young adult,male,125k+,40.806302,-73.937964
P0111,rural fringe,own car,low,medium,weekday evening,solo,ADA/wheelchair,nightlife,yes,low,low,med,5,non-English,heat,mid adult,male,<35k,40.730739,-73.948789
P0112,urban core,own car,low,medium,weekend morning,solo,none,cultural,no,high,low,high,15,English,rain,mid adult,male,75k-125k,40.714538,-73.951700
P0113,outer suburb,no car,medium,medium,weekday evening,older adult pair,stroller-friendly,cultural,yes,high,high,high,5,English,rain,old adult,male,125k+,40.727828,-73.994750
P0114,inner suburb,carshare,high,medium,weekday evening,family w/ small kids,stroller-friendly,cultural,yes,low,low,med,15,non-English,heat,young adult,male,75k-125k,40.786193,-73.981442
P0115,rural fringe,carshare,low,medium,weekend morning,mixed friends 20-30,none,nature,no,high,high,low,30,English,heat,young adult,male,75k-125k,40.804206,-73.968647
P0116,rural fringe,no car,medium,high,weekend afternoon,solo,stroller-friendly,nature,no,low,low,med,15,English,rain,old adult,male,125k+,40.801074,-73.971271
P0117,inner suburb,own car,medium,low,weekend morning,family w/ small kids,none,food,yes,high,low,low,30,English,rain,mid adult,male,35-75k,40.724109,-73.990958
P0118,urban core,own car,low,medium,weekday evening,family w/ small kids,ADA/wheelchair,food,yes,high,high,low,5,English,clear,mid adult,male,35-75k,40.733071,-74.006383
P0119,outer suburb,no car,low,high,weekend afternoon,family w/ small kids,stroller-friendly,cultural,no,high,high,med,30,English,heat,mid adult,male,75k-125k,40.715813,-73.940020
P0120,inner suburb,own car,low,high,weekend morning,mixed friends 20-30,none,cultural,yes,high,low,med,15,non-English,clear,young adult,male,75k-125k,40.739691,-73.934585
P0121,inner suburb,own car,low,low,weekend afternoon,older adult pair,ADA/wheelchair,cultural,yes,low,low,high,5,English,heat,old adult,male,35-75k,40.813428,-73.962436
P0122,outer suburb,no car,medium,medium,weekend morning,older adult pair,ADA/wheelchair,nightlife,no,high,low,med,5,English,clear,old adult,male,75k-125k,40.809039,-73.944466
P0123,urban core,no car,high,low,weekend morning,solo,none,cultural,no,low,high,high,5,English,rain,mid adult,male,35-75k,40.717113,-74.014545
P0124,outer suburb,own car,low,high,weekend morning,older adult pair,ADA/wheelchair,nature,no,low,high,high,5,English,rain,senior,male,75k-125k,40.775175,-73.989196
P0125,urban core,own car,low,high,weekend afternoon,mixed friends 20-30,none,nature,yes,high,low,med,5,English,heat,young adult,male,75k-125k,40.724408,-74.005946
P0126,inner suburb,no car,medium,low,weekend morning,mixed friends 20-30,ADA/wheelchair,nightlife,yes,low,low,med,15,English,heat,young adult,male,<35k,40.779284,-73.981116
P0127,urban core,own car,medium,high,weekday evening,older adult pair,none,nature,no,high,high,med,15,non-English,heat,old adult,female,75k-125k,40.730074,-73.987524
P0128,outer suburb,own car,high,medium,weekend afternoon,older adult pair,ADA/wheelchair,nature,no,low,low,med,30,English,heat,senior,male,75k-125k,40.740929,-73.933385
P0129,inner suburb,no car,low,medium,weekend morning,older adult pair,ADA/wheelchair,food,no,high,low,low,30,non-English,rain,old adult,female,35-75k,40.710223,-74.007744
P0130,inner suburb,carshare,high,medium,weekend afternoon,solo,none,cultural,yes,high,high,low,5,non-English,heat,young adult,female,75k-125k,40.726602,-74.007431
P0131,inner suburb,no car,high,high,weekday evening,solo,ADA/wheelchair,nature,no,high,high,med,5,English,heat,mid adult,female,<35k,40.817796,-73.935950
P0132,urban core,own car,low,high,weekend afternoon,family w/ small kids,none,nightlife,no,high,low,med,5,non-English,rain,mid adult,female,75k-125k,40.769078,-73.961107
P0133,rural fringe,no car,low,low,weekday evening,older adult pair,stroller-friendly,nature,no,high,high,high,30,English,rain,senior,female,<35k,40.719290,-73.945399
P0134,outer suburb,carshare,medium,low,weekend afternoon,older adult pair,none,cultural,no,high,high,low,5,non-English,clear,old adult,male,<35k,40.732318,-74.001663
P0135,inner suburb,no car,high,medium,weekend afternoon,older adult pair,ADA/wheelchair,cultural,yes,low,low,high,30,English,clear,senior,male,35-75k,40.723441,-74.009538
P0136,urban core,own car,low,low,weekday evening,family w/ small kids,none,nightlife,yes,high,high,med,30,non-English,rain,young adult,male,35-75k,40.717675,-73.985989
P0137,outer suburb,own car,low,medium,weekday evening,family w/ small kids,none,food,no,low,low,high,30,English,rain,mid adult,female,75k-125k,40.710901,-73.943788
P0138,urban core,no car,medium,low,weekday evening,mixed friends 20-30,stroller-friendly,cultural,no,high,high,high,15,non-English,heat,young adult,male,35-75k,40.720150,-73.937829
P0139,inner suburb,own car,medium,medium,weekday evening,older adult pair,ADA/wheelchair,food,yes,high,high,low,15,non-English,clear,mid adult,female,75k-125k,40.757708,-73.969407
P0140,inner suburb,no car,medium,medium,weekday evening,mixed friends 20-30,none,nightlife,yes,high,low,high,5,English,heat,young adult,male,75k-125k,40.718417,-73.961620
P0141,rural fringe,own car,low,medium,weekend afternoon,solo,ADA/wheelchair,nightlife,yes,low,high,med,30,non-English,rain,teen,male,75k-125k,40.750341,-73.983175
P0142,rural fringe,no car,low,medium,weekend afternoon,older adult pair,stroller-friendly,nightlife,yes,high,low,high,5,English,heat,old adult,female,75k-125k,40.813702,-73.930993
P0143,urban core,no car,low,low,weekend morning,solo,none,food,no,high,low,high,15,English,heat,young adult,female,35-75k,40.733761,-73.937415
P0144,urban core,carshare,medium,low,weekend afternoon,mixed friends 20-30,ADA/wheelchair,nightlife,no,low,low,low,30,non-English,rain,young adult,female,35-75k,40.772351,-73.946656
P0145,urban core,own car,medium,medium,weekend afternoon,mixed friends 20-30,none,cultural,yes,high,low,low,15,English,clear,mid adult,female,35-75k,40.800073,-73.951037
P0146,inner suburb,own car,medium,high,weekend morning,family w/ small kids,stroller-friendly,nightlife,no,low,high,low,30,non-English,clear,mid adult,male,125k+,40.779977,-73.986962
P0147,urban core,carshare,high,low,weekday evening,family w/ small kids,none,nature,no,low,low,high,15,non-English,rain,young adult,female,<35k,40.730246,-74.001020
P0148,rural fringe,carshare,medium,low,weekend afternoon,family w/ small kids,none,food,no,high,high,high,5,non-English,heat,mid adult,female,35-75k,40.744502,-73.975202
P0149,inner suburb,own car,low,low,weekday evening,mixed friends 20-30,ADA/wheelchair,nightlife,yes,high,high,high,30,non-English,heat,young adult,female,75k-125k,40.715464,-73.949598
P0150,inner suburb,carshare,low,medium,weekend morning,older adult pair,stroller-friendly,food,yes,low,low,low,30,non-English,clear,old adult,male,75k-125k,40.719999,-73.944211
P0151,rural fringe,no car,high,medium,weekend afternoon,family w/ small kids,stroller-friendly,cultural,no,high,high,high,15,English,heat,mid adult,male,75k-125k,40.747706,-73.956947
P0152,rural fringe,carshare,low,medium,weekday evening,family w/ small kids,ADA/wheelchair,cultural,yes,high,high,low,15,English,rain,senior,male,75k-125k,40.722979,-74.011503
P0153,outer suburb,no car,high,low,weekend afternoon,older adult pair,none,food,yes,high,low,low,30,non-English,heat,mid adult,female,<35k,40.764921,-73.938603
P0154,rural fringe,own car,low,medium,weekend afternoon,mixed friends 20-30,none,food,yes,high,high,high,5,non-English,clear,mid adult,female,35-75k,40.802548,-73.942988
P0155,inner suburb,no car,medium,high,weekday evening,family w/ small kids,ADA/wheelchair,nature,yes,low,low,high,30,non-English,clear,mid adult,male,75k-125k,40.817178,-73.934466
P0156,urban core,own car,high,high,weekend afternoon,family w/ small kids,ADA/wheelchair,nightlife,no,high,low,high,5,English,clear,mid adult,female,<35k,40.702132,-73.992581
P0157,outer suburb,no car,high,high,weekend afternoon,solo,ADA/wheelchair,nightlife,no,high,low,med,30,English,rain,young adult,male,35-75k,40.774999,-73.961107
P0158,rural fringe,own car,low,high,weekday evening,older adult pair,none,nature,no,high,low,high,15,non-English,clear,senior,male,125k+,40.724330,-73.955129
P0159,inner suburb,no car,medium,high,weekend afternoon,mixed friends 20-30,none,food,no,low,high,high,15,non-English,heat,young adult,male,125k+,40.716921,-73.941845
P0160,inner suburb,carshare,low,high,weekend afternoon,older adult pair,none,nightlife,no,high,low,high,15,English,rain,old adult,male,125k+,40.784666,-73.954060
P0161,inner suburb,own car,medium,medium,weekday evening,older adult pair,ADA/wheelchair,food,yes,high,high,med,5,non-English,heat,old adult,male,125k+,40.761308,-74.001952
P0162,outer suburb,no car,medium,low,weekday evening,solo,none,food,yes,low,high,low,5,non-English,clear,young adult,female,<35k,40.707751,-73.968402
P0163,urban core,no car,high,high,weekend afternoon,older adult pair,ADA/wheelchair,nightlife,yes,high,high,high,30,non-English,heat,old adult,male,<35k,40.745128,-73.980670
P0164,outer suburb,no car,high,low,weekday evening,solo,ADA/wheelchair,food,yes,high,low,low,30,non-English,rain,young adult,male,35-75k,40.760856,-73.998347
P0165,urban core,own car,high,high,weekend morning,mixed friends 20-30,none,nature,yes,low,low,low,5,non-English,heat,mid adult,male,75k-125k,40.794913,-73.948556
P0166,rural fringe,own car,medium,high,weekday evening,solo,none,nature,no,low,low,low,15,English,clear,young adult,female,125k+,40.796009,-73.935402
P0167,urban core,no car,medium,medium,weekday evening,older adult pair,none,nightlife,no,low,high,low,30,English,clear,young adult,male,35-75k,40.750183,-73.939241
P0168,urban core,carshare,medium,low,weekend morning,older adult pair,none,nightlife,yes,high,high,med,15,English,heat,mid adult,male,<35k,40.746277,-73.933268
P0169,urban core,carshare,medium,medium,weekday evening,mixed friends 20-30,ADA/wheelchair,nature,yes,low,low,med,5,English,heat,young adult,female,35-75k,40.712481,-73.992280
P0170,urban core,own car,high,low,weekday evening,older adult pair,stroller-friendly,nightlife,yes,high,low,low,15,non-English,heat,mid adult,male,35-75k,40.774221,-73.931821
P0171,inner suburb,no car,high,high,weekend morning,solo,stroller-friendly,cultural,yes,high,low,low,15,English,heat,mid adult,female,125k+,40.746358,-73.939731
P0172,outer suburb,carshare,medium,high,weekday evening,solo,stroller-friendly,cultural,yes,low,high,med,5,English,rain,old adult,male,125k+,40.802612,-73.930796
